stamp,pwm,velocity,steering_angle,distance,has_target,target_center_offset,control
1734795517.2441502,715395,0.0,582106,0.6926151514053345,True,8,715395.8125
1734795517.4188514,715460,1.4075143337249756,582147,0.7890922427177429,True,8,715460.625
1734795517.466783,716950,1.674108624458313,582162,0.6288490891456604,True,8,716950.25
1734795517.5290391,717536,1.9256856441497803,585929,0.4429891109466553,True,9,717536.625
1734795517.5987952,585000,1.8825335502624512,570205,0.5668003559112549,True,6,585000.0
1734795517.6687207,715000,2.105451822280884,585215,0.40696609020233154,True,10,715000.0
1734795517.7667575,715308,1.470592975616455,586728,0.7184159755706787,True,8,715308.0625
1734795517.837009,715000,2.8902359008789062,586753,0.4003012180328369,True,8,715000.0
1734795517.9070745,715425,0.0,578517,0.8323525786399841,True,7,715425.75
1734795517.980133,585000,1.9976235628128052,584529,0.6587387919425964,True,8,585000.0
1734795518.0493789,585000,0.0,589785,0.46124595403671265,True,10,585000.0
1734795518.1518533,585000,0.0,590589,0.6506837010383606,True,12,585000.0
1734795518.2216403,715000,1.425033450126648,592102,0.5559648275375366,True,13,715000.0
1734795518.292432,717334,0.0,602609,0.5709301233291626,True,15,717334.5625
1734795518.3639333,715000,0.8065975308418274,594426,0.9077719449996948,True,16,585000.0
1734795518.432039,715290,2.3430707454681396,594458,0.7974335551261902,True,16,715290.1875
1734795518.5017805,719414,1.1994354724884033,594490,0.4563392996788025,True,16,719414.6875
1734795518.5715077,585000,0.0,560000,0.699811577796936,False,16,585000.0
1734795518.6420984,660000,1.0206044912338257,594554,0.5369515419006348,True,16,660000.0
1734795518.7115045,585000,0.0,587093,0.5406724214553833,True,14,585000.0
1734795518.7815778,715000,0.0,591612,0.5065507292747498,True,14,715000.0
1734795518.85147,715340,0.612421989440918,591641,0.6910818219184875,True,14,715340.25
1734795518.9217205,715000,0.0,591669,1.022935152053833,True,14,715000.0
1734795518.991541,715525,0.0,591697,0.6149877905845642,True,14,715525.125
1734795519.0630338,719749,0.47110429406166077,584248,0.5011329650878906,True,15,719749.6875
1734795519.13168,585000,0.0,597016,0.2697228789329529,True,16,585000.0
1734795519.3316815,660000,1.0905605554580688,596366,0.6477397084236145,True,17,660000.0
1734795519.3979015,660000,0.0,586663,0.554288387298584,True,18,660000.0
1734795519.4674978,715000,0.0,597935,0.6068100333213806,True,18,715000.0
1734795519.5371735,715000,0.5468572378158569,605472,0.5655736923217773,True,20,715000.0
1734795519.6073606,715351,0.0,601013,0.633551299571991,True,20,715351.8125
